id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution) sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, both of which are directly supported by the provided context.",5,The answer directly and completely addresses the question by providing the specific SLA for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including both the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is completely grounded in the context, accurately stating that customers can request a refund within 7 working days from the order confirmation.",5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points in the expected answer without missing any details.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately states that Level 3 access requires approval from the Line Manager, IT Admin, and IT Security, which is fully supported by the provided context.",5,The answer directly and completely addresses the question by specifying who must approve the granting of Level 3 permissions.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer is mostly grounded in context, but it does not explicitly mention the requirement to submit the refund request within 7 days, which is a key condition.",5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,"The model answer correctly states that digital products are not refundable but introduces an exception for manufacturer errors, which is not mentioned in the expected answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the context, accurately stating that the account is locked after 5 consecutive failed login attempts.",5,The answer directly and completely addresses the question by stating the specific number of failed login attempts that lead to account locking.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points in the expected answer.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, quy trình escalation khẩn cấp cho phép On-call IT Admin cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information provided in the context regarding the escalation process for P1 incidents and the emergency escalation procedure, with all claims supported by the context.",5,"The answer directly and completely explains how escalation occurs in a P1 incident, including the automatic escalation to a Senior Engineer and the emergency escalation process involving the On-call IT Admin.",5,Retrieved: 1/1 expected sources,4,"The model answer covers the main point about automatic escalation to a Senior Engineer after 10 minutes, but it includes additional details about emergency escalation procedures that are not part of the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [2].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately states that the Approval Matrix for system access was previously named 'Approval Matrix for System Access', which is directly supported by the provided context.",5,"The answer directly and completely identifies the Approval Matrix for system access and provides its previous name, fully addressing the question.",5,Retrieved: 1/1 expected sources,3,"The model answer correctly identifies the previous name of the document but fails to mention its current name, which is a key point in the expected answer.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information in the context regarding the remote work policy for employees after the probation period.,5,The answer directly and completely addresses the question by specifying the maximum number of remote work days allowed per week.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points in the expected answer, including the maximum number of remote days and the condition of having completed the probation period.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately reflects the lack of relevant information in the provided context, which does not address the question.",1,The answer does not address the question at all and states a lack of data.,,No expected sources (abstain question),3,"The model answer indicates a lack of information but does not mention the potential relation to authentication or the suggestion to contact IT Helpdesk, missing important details.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer claims there is insufficient data in the provided context, but the context clearly outlines conditions for refunds and exceptions, indicating that the answer is not grounded and lacks relevant information.",1,The answer does not address the question at all and simply states a lack of data.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the question and misses all core content regarding the refund process for VIP customers.,variant_hybrid_rerank
